name;rubric;address;rating;reviews;phones;socials;2gis_url
"ТК Комета, перевозка автомобилей и спецтехники";"грузоперевозки";"13-я Рабочая улица, 12";"5";"1818";"+7-904-627-48-88, +7 (423) 297-48-88";"telegram";"https://2gis.ru/vladivostok/firm/70000001081846015"
"Avtobox7255, автокомплекс";"автомойка";"улица Карбышева, 11г";"5";"722";"+7 (423) 201-27-57, +7-924-731-27-57";"telegram";"https://2gis.ru/vladivostok/firm/70000001032149592"
"Green auto wash, автомойка";"автомойка";"Липовая улица, 11 ст3";"4.5";"580";"+7-924-730-52-53, +7 (423) 200-52-53";"";"https://2gis.ru/vladivostok/firm/70000001053708769"
"Стрижевский, мужская парикмахерская";"салон красоты";"Некрасовская улица, 96";"5";"445";"+7 (423) 268-18-38, +7-902-482-18-38";"vkontakte,telegram";"https://2gis.ru/vladivostok/firm/70000001044328548"
"Мойдодыр №1, автомойка";"автомойка";"улица Борисенко, 38Б ст2";"4";"419";"+7-914-703-76-69";"telegram";"https://2gis.ru/vladivostok/firm/3518965489942279"
"Мартин-мебель, мебельная компания";"мебель на заказ";"Луговая улица, 28 ст4";"4.9";"383";"+7-914-705-27-79, +7 (423) 275-27-79";"vkontakte,telegram";"https://2gis.ru/vladivostok/firm/70000001018006062"
"Мойдодыр №1, автомойка";"автомойка";"улица Руднева, 13в";"4.7";"368";"+7-924-941-43-42";"telegram";"https://2gis.ru/vladivostok/firm/3518965489866020"
"Темп, автоцентр";"автосервис";"Народный проспект, 27Б ст2";"4.8";"353";"+7 (423) 245-35-50, +7-914-329-79-63";"";"https://2gis.ru/vladivostok/firm/3518965489866454"
"Dacar, автомойка";"автомойка";"улица Анны Щетининой, 23";"4.8";"342";"+7 (423) 257-45-57, +7-902-557-45-57";"";"https://2gis.ru/vladivostok/firm/70000001030911153"
"ВсеГрузы.РФ";"грузоперевозки";"Русская улица, 65 к10";"4.8";"312";"+7 (423) 294-90-74, +7-908-994-90-74";"telegram";"https://2gis.ru/vladivostok/firm/70000001067913066"
"Пена, автомойка";"автомойка";"проспект 100-летия Владивостока, 32в";"4.7";"311";"+7 (423) 299-95-33";"telegram";"https://2gis.ru/vladivostok/firm/70000001043822676"
"Поток, автомоечный комплекс";"автомойка";"15-я улица, 1д";"3.8";"305";"+7 (423) 205-38-38";"";"https://2gis.ru/vladivostok/firm/70000001075595956"
"Окна Эксперт, компания";"пластиковые окна";"Снеговая улица, 109 к2";"4.9";"293";"+7-902-505-07-08";"telegram";"https://2gis.ru/vladivostok/firm/70000001018850953"
"Сити мебель, мебельная фабрика";"мебель на заказ";"Выселковая улица, 39";"4.9";"288";"+7-924-123-71-11, +7-902-050-43-33";"telegram";"https://2gis.ru/vladivostok/firm/70000001027532472"
"VIP сервис, автомойка";"автомойка";"Пологая улица, 3";"4.7";"280";"+7 (423) 255-98-88, +7 (423) 254-97-77";"";"https://2gis.ru/vladivostok/firm/3518965489997285"
"МЕХАНИК-АВТО, автосервис";"автосервис";"улица Толстого, 52 ст4";"4.8";"266";"+7-967-958-80-66, +7-902-506-56-58";"";"https://2gis.ru/vladivostok/firm/70000001044422371"
"Мебельмакс, магазин матрасов и мебели";"мебель на заказ";"Народный проспект, 11Б";"5";"262";"+7 (423) 275-85-44, +7-914-705-85-44";"odnoklassniki,vkontakte,telegram";"https://2gis.ru/vladivostok/firm/70000001007472627"
"Свой автосервис";"автосервис";"Волховская улица, 26а";"5";"251";"+7-902-505-06-26, +7-995-434-72-90";"youtube,telegram";"https://2gis.ru/vladivostok/firm/70000001047756752"
"Black car, автомойка";"автомойка";"улица Калинина, 4а ст9";"4.3";"250";"+7-914-795-40-43";"";"https://2gis.ru/vladivostok/firm/70000001032308712"
"Про.fashion, салон красоты";"салон красоты";"Русская улица, 1в";"4.9";"232";"+7 (423) 2-300-312, +7-914-704-77-85";"vkontakte,telegram";"https://2gis.ru/vladivostok/firm/3518965489866481"
"Субару Клуб, автоцентр";"автосервис";"проспект 100-летия Владивостока, 57 ст3";"4.9";"230";"+7 (423) 236-00-32, +7 (423) 266-00-92";"telegram";"https://2gis.ru/vladivostok/firm/3518965489866441"
"Public carwash, автомойка самообслуживания";"автомойка";"улица Фадеева, 30Б ст3";"4.4";"220";"+7-924-245-30-02";"";"https://2gis.ru/vladivostok/firm/70000001065595932"
"Желтый бокс, автосервис";"автосервис";"Сельская улица, 6а";"4.8";"217";"+7 (423) 299-29-29, +7-904-629-29-29";"telegram";"https://2gis.ru/vladivostok/firm/3518965489870483"
"Лазер 360, экспресс-мойка";"автомойка";"Днепровская улица, 103";"4.7";"212";"+7-914-792-12-34";"";"https://2gis.ru/vladivostok/firm/70000001060461451"
"Карат-В, стоматологическая клиника";"стоматология";"Русская улица, 77";"4.5";"209";"+7 (423) 232-98-98, +7-924-260-99-79";"telegram";"https://2gis.ru/vladivostok/firm/3518965489861052"
"Ftc, ремонт вариаторов и АКПП";"автосервис";"Западная улица, 11";"5";"205";"+7-914-664-32-90";"telegram";"https://2gis.ru/vladivostok/firm/70000001028631070"
"UniverStom, стоматологическая клиника";"стоматология";"улица Кутузова, 3а";"4.9";"204";"+7-951-024-25-25, +7 (423) 294-35-35";"";"https://2gis.ru/vladivostok/firm/70000001038605736"
"Diamond, автокомплекс";"автомойка";"Некрасовская улица, 94";"4.2";"203";"+7-924-730-50-30";"telegram";"https://2gis.ru/vladivostok/firm/70000001019893566"
"Grass, автомойка";"автомойка";"Бородинская улица, 47Б";"4.5";"198";"+7-951-003-12-12, +7-951-014-02-92";"";"https://2gis.ru/vladivostok/firm/3518965489932552"
"та САМая, автомойка";"автомойка";"улица Калинина, 8";"4.6";"191";"+7 (423) 295-20-20";"";"https://2gis.ru/vladivostok/firm/70000001046981413"
"Electro Motors, ремонт гибридов и электромобилей";"автосервис";"Стрелочная улица, 4а";"4.8";"183";"+7-999-615-37-37";"";"https://2gis.ru/vladivostok/firm/70000001023297003"
"Мастерская шиномонтажных и сварочных работ";"автосервис";"Народный проспект, 2д";"4.7";"174";"+7-908-449-45-26";"";"https://2gis.ru/vladivostok/firm/70000001041046986"
"Анкер авто, автокомплекс";"автомойка";"Окатовая улица, 66 ст2";"4.8";"170";"+7 (423) 254-05-24, +7 (423) 280-32-30";"telegram,vkontakte";"https://2gis.ru/vladivostok/firm/3518965489946114"
"Новая, автомойка";"автомойка";"Партизанский проспект, 49";"4.3";"166";"+7 (423) 259-72-72, +7 (423) 245-16-19";"";"https://2gis.ru/vladivostok/firm/3518965489938237"
"Советник, коллегия адвокатов";"юридические услуги";"Верхнепортовая улица, 12а";"5";"152";"+7-914-079-53-91";"telegram";"https://2gis.ru/vladivostok/firm/70000001089757628"
"Black Shelby, автоцентр";"автомойка";"3-я улица, 7г";"4.9";"149";"+7-984-159-52-30";"telegram";"https://2gis.ru/vladivostok/firm/70000001077839510"
"Грязный Гарри, автокомплекс";"автомойка";"улица Нейбута, 41в";"4.9";"147";"+7 (423) 295-97-55, +7-908-995-97-55";"";"https://2gis.ru/vladivostok/firm/3518965489943352"
"Wheel, СТО";"автосервис";"улица Фадеева, 42 ст3";"4.9";"135";"+7-914-7060-686, +7 (423) 276-06-86";"";"https://2gis.ru/vladivostok/firm/3518965489894209"
"Чайка, детский культурно-развлекательный центр";"детский центр";"Черёмуховая улица, 40";"4.8";"131";"+7-924-730-07-71, +7 (423) 225-37-45";"vkontakte";"https://2gis.ru/vladivostok/firm/70000001018527866"
"Авторитет, экспертно-оценочное бюро";"юридические услуги";"проспект 100-летия Владивостока, 56";"5";"125";"+7 (423) 252-32-21, +7-914-739-51-13";"";"https://2gis.ru/vladivostok/firm/3518966490024362"
"МАХсервис777, автосервис";"автосервис";"улица Лермонтова, 56в";"4.9";"124";"+7-924-235-67-77";"";"https://2gis.ru/vladivostok/firm/70000001019555656"
"Казанский мост, автоцентр";"автомойка";"Верхнепортовая улица, 78в";"4.5";"124";"+7 (423) 2-535-535";"";"https://2gis.ru/vladivostok/firm/3518965489870352"
"A-Service, автосервис";"автосервис";"улица Черняховского, 3 ст2";"4.9";"122";"+7-914-333-67-64";"telegram";"https://2gis.ru/vladivostok/firm/70000001094455897"
"Holikorn, автосервис";"автосервис";"3-я Поселковая улица, 7 ст1";"5";"122";"+7-902-521-65-83";"telegram";"https://2gis.ru/vladivostok/firm/70000001103332312"
"Лонг Лаш, студия";"салон красоты";"Аксаковская улица, 3";"5";"121";"+7-996-426-58-86";"telegram";"https://2gis.ru/vladivostok/firm/70000001047805597"
"Вош Ми!, автомойка";"автомойка";"улица Майора Филипова, 11 ст4";"4.8";"121";"+7-902-556-06-00";"telegram";"https://2gis.ru/vladivostok/firm/70000001106140204"
"Чистота Дв";"клининговая компания";"";"4.7";"113";"+7-914-077-10-05, +7-995-534-75-95";"";"https://2gis.ru/vladivostok/firm/70000001066603671"
"Автокомплекс 24, автомойка";"автомойка";"Иртышская улица, 23 ст2";"4.5";"113";"+7 (423) 250-05-84, +7-908-440-05-84";"";"https://2gis.ru/vladivostok/firm/70000001020101648"
"АвтоНайс";"автомойка";"Выселковая улица, 40";"4.9";"111";"+7-924-008-64-38, +7-914-669-33-67";"";"https://2gis.ru/vladivostok/firm/70000001092063845"
"Лайф, стоматологическая клиника";"стоматология";"проспект 100-летия Владивостока, 20";"5";"107";"+7-902-480-94-94";"";"https://2gis.ru/vladivostok/firm/3518965489893524"
"Блеск, выездная химчистка мебели";"клининговая компания";"Сахалинская улица, 41";"5";"107";"+7-950-289-42-29, +7-911-232-96-67";"vkontakte";"https://2gis.ru/vladivostok/firm/70000001093511757"
"Renome service, автосервис";"автомойка";"улица Адмирала Юмашева, 22в";"4.9";"106";"+7-996-280-16-89, +7 (423) 261-04-50";"vkontakte";"https://2gis.ru/vladivostok/firm/3518965489905434"
"Твинкам, автосервис";"автосервис";"улица Котельникова, 27";"4.9";"104";"+7 (423) 260-97-36, +7 (423) 200-68-66";"";"https://2gis.ru/vladivostok/firm/3518965489867070"
"Питстоп, автосервис";"автомойка";"Аллилуева улица, 12";"4.8";"96";"+7 (423) 2-609-309, +7 (423) 2-902-950";"";"https://2gis.ru/vladivostok/firm/3518965489911243"
"Bibistation, автомойка самообслуживания";"автомойка";"Днепровская улица, 48";"4.7";"92";"+7-908-963-02-99";"telegram";"https://2gis.ru/vladivostok/firm/70000001104406369"
"Градинар, маникюрный салон";"салон красоты";"улица Майора Филипова, 16";"5";"86";"+7-924-131-23-86";"";"https://2gis.ru/vladivostok/firm/70000001068007423"
"Алые паруса, автомоечный комплекс";"автомойка";"улица Крыгина, 105/1";"4.7";"83";"+7-994-024-80-91";"";"https://2gis.ru/vladivostok/firm/70000001042137843"
"Мой дом, компания";"клининговая компания";"улица Краева, 8а";"4.8";"80";"+7 (423) 297-75-55";"";"https://2gis.ru/vladivostok/firm/70000001051412390"
"Море кроваток";"мебель на заказ";"улица Вилкова, 5а";"4.9";"76";"+7-902-481-54-75, +7 (423) 267-54-75";"telegram";"https://2gis.ru/vladivostok/firm/70000001045780215"
"Аквамен, автомойка самообслуживания";"автомойка";"улица Салтыкова, 2а ст1";"4.6";"75";"+7-966-990-00-30";"telegram";"https://2gis.ru/vladivostok/firm/70000001110971410"
"Bezacar";"автомойка";"улица Матросова, 30 ст6";"4.7";"74";"+7-914-974-91-05";"telegram";"https://2gis.ru/vladivostok/firm/70000001064876654"
"Автокомплекс";"автомойка";"проспект 100-летия Владивостока, 153 ст2";"4.9";"73";"+7 (423) 255-24-06, +7 (423) 252-37-37";"";"https://2gis.ru/vladivostok/firm/3518965489870425"
"Автосервис на Снеговой";"автосервис";"Снеговая улица, 7Б";"4.9";"62";"+7-914-668-88-72, +7-984-156-64-24";"";"https://2gis.ru/vladivostok/firm/70000001021984235"
"Мастер Быт, ремонт квартир";"ремонт квартир";"Цимлянская улица, 30/1";"4.8";"61";"+7-908-453-30-74, +7-908-453-30-68";"";"https://2gis.ru/vladivostok/firm/70000001078929350"
"Автолэнд";"автосервис";"5-я Матросская улица, 26";"5";"60";"+7-902-483-15-25";"";"https://2gis.ru/vladivostok/firm/70000001030411252"
"А+ Альянс Авто, автосервис";"автосервис";"6-я улица, 9 ст1";"4.9";"59";"+7-914-705-96-56, +7 (423) 275-96-56";"";"https://2gis.ru/vladivostok/firm/3518965489866592"
"Dent line, стоматология";"стоматология";"Народный проспект, 53";"4.8";"59";"+7 (423) 207-06-15, +7-914-655-88-80";"telegram";"https://2gis.ru/vladivostok/firm/70000001096901372"
"Lite, автомоечный комплекс";"автомойка";"проспект Красного Знамени, 104а";"4.6";"58";"+7-902-487-56-74, +7 (423) 248-56-74";"telegram";"https://2gis.ru/vladivostok/firm/70000001103842978"
"Гармония, стоматологическая клиника";"стоматология";"Печорская улица, 8а";"4.8";"55";"+7-902-484-24-23";"vkontakte";"https://2gis.ru/vladivostok/firm/3518965489932062"
"Акцент, студия наращивания ресниц";"салон красоты";"Русская улица, 3";"5";"48";"+7-914-968-93-33, +7-914-325-05-47";"telegram";"https://2gis.ru/vladivostok/firm/70000001053997167"
"Apex Logistics";"грузоперевозки";"Снеговая улица, 18а";"4.9";"48";"+7-924-135-02-22";"telegram";"https://2gis.ru/vladivostok/firm/70000001103627652"
"Волна, автомойка";"автомойка";"улица Адмирала Юмашева, 7Б";"3.9";"48";"+7 (423) 272-85-55";"";"https://2gis.ru/vladivostok/firm/70000001018632036"
"Розовый фламинго, салон красоты";"салон красоты";"Светланская улица, 181";"4.5";"46";"+7-966-271-44-42";"";"https://2gis.ru/vladivostok/firm/3518965489865556"
"Клининг-911, клининговая компания";"клининговая компания";"";"5";"39";"+7-950-299-40-68";"telegram";"https://2gis.ru/vladivostok/firm/70000001095477276"
"Bomba lash, школа-студия наращивания ресниц";"салон красоты";"";"5";"39";"+7-914-424-19-69";"telegram";"https://2gis.ru/vladivostok/firm/70000001083470366"
"ПроЛог, речевой кабинет";"детский центр";"улица Толбухина, 2 к1";"5";"36";"+7-902-506-70-65";"telegram";"https://2gis.ru/vladivostok/firm/70000001068412682"
"Автоклиника";"автосервис";"Русская улица, 135 ст2";"4.9";"35";"+7-924-233-03-03";"telegram";"https://2gis.ru/vladivostok/firm/70000001090203973"
